country,year,SH.XPD.CHEX.GD.ZS
Arab World,2018,5.225987043
Caribbean small states,2018,6.363417362
Central Europe and the Baltics,2018,6.610860197
Early-demographic dividend,2018,5.04291263
East Asia & Pacific,2018,6.669777429
East Asia & Pacific (excluding high income),2018,5.090258759
East Asia & Pacific (IDA & IBRD countries),2018,5.090390174
Euro area,2018,10.13578919
Europe & Central Asia,2018,9.292036345
Europe & Central Asia (excluding high income),2018,5.151415649
Europe & Central Asia (IDA & IBRD countries),2018,5.370706955
European Union,2018,9.853993834
Fragile and conflict affected situations,2018,4.470025791
Heavily indebted poor countries (HIPC),2018,4.843206232
High income,2018,12.42485209
IBRD only,2018,5.557630145
IDA & IBRD total,2018,5.462382474
IDA blend,2018,3.804041076
IDA only,2018,4.318130799
IDA total,2018,4.08001116
Late-demographic dividend,2018,5.758975073
Latin America & Caribbean,2018,7.956369729
Latin America & Caribbean (excluding high income),2018,7.889318745
Latin America & the Caribbean (IDA & IBRD countries),2018,7.89928248
Least developed countries: UN classification,2018,4.004448456
Low & middle income,2018,5.413333124
Low income,2018,5.342417282
Lower middle income,2018,4.073158623
Middle East & North Africa,2018,5.959707249
Middle East & North Africa (excluding high income),2018,6.531963523
Middle East & North Africa (IDA & IBRD countries),2018,6.531963523
Middle income,2018,5.414196749
North America,2018,16.41614958
Not classified,2018,
OECD members,2018,12.45665809
Other small states,2018,4.48164777
Pacific island small states,2018,4.91915957
Post-demographic dividend,2018,12.88590176
Pre-demographic dividend,2018,4.241674127
Small states,2018,4.757639799
South Asia,2018,3.482226786
South Asia (IDA & IBRD),2018,3.482226786
Sub-Saharan Africa,2018,5.08460288
Sub-Saharan Africa (excluding high income),2018,5.078348544
Sub-Saharan Africa (IDA & IBRD countries),2018,5.08460288
Upper middle income,2018,5.739787359
World,2018,9.848778575
Afghanistan,2018,9.39572716
Albania,2018,5.26271439
Algeria,2018,6.2184267
American Samoa,2018,
Andorra,2018,6.71033096
Angola,2018,2.54900527
Antigua and Barbuda,2018,5.23155928
Argentina,2018,9.62454033
Armenia,2018,10.02538967
Aruba,2018,
Australia,2018,9.28459835
Austria,2018,10.32559872
Azerbaijan,2018,3.51373243
"Bahamas, The",2018,6.24896193
Bahrain,2018,4.13356352
Bangladesh,2018,2.3428061
Barbados,2018,6.56259155
Belarus,2018,5.64426613
Belgium,2018,10.31865311
Belize,2018,5.69105911
Benin,2018,2.49141979
Bermuda,2018,
Bhutan,2018,3.0574255
Bolivia,2018,6.30102587
Bosnia and Herzegovina,2018,8.895051
Botswana,2018,5.84825039
Brazil,2018,9.51438713
British Virgin Islands,2018,
Brunei Darussalam,2018,2.41291642
Bulgaria,2018,7.34667873
Burkina Faso,2018,5.62852383
Burundi,2018,7.74165535
Cabo Verde,2018,5.35998297
Cambodia,2018,6.02654314
Cameroon,2018,3.52989626
Canada,2018,10.79046917
Cayman Islands,2018,
Central African Republic,2018,10.99253082
Chad,2018,4.09880257
Channel Islands,2018,
Chile,2018,9.14051342
China,2018,5.35107994
Colombia,2018,7.63980007
Comoros,2018,4.58884811
"Congo, Dem. Rep.",2018,3.30075741
"Congo, Rep.",2018,2.13848233
Costa Rica,2018,7.56336021
Cote d'Ivoire,2018,4.19003773
Croatia,2018,6.82702351
Cuba,2018,11.18745422
Curacao,2018,
Cyprus,2018,6.76976299
Czech Republic,2018,7.64651203
Denmark,2018,10.0707159
Djibouti,2018,2.32438445
Dominica,2018,6.59153605
Dominican Republic,2018,5.73298407
Ecuador,2018,8.13646507
"Egypt, Arab Rep.",2018,4.947577
El Salvador,2018,7.10940361
Equatorial Guinea,2018,2.99830961
Eritrea,2018,4.09255791
Estonia,2018,6.6878767
Eswatini,2018,6.54034519
Ethiopia,2018,3.29555655
Faroe Islands,2018,
Fiji,2018,3.42366552
Finland,2018,9.037323
France,2018,11.25789452
French Polynesia,2018,
Gabon,2018,2.74503946
"Gambia, The",2018,3.09379649
Georgia,2018,7.11329746
Germany,2018,11.42995071
Ghana,2018,3.53888083
Gibraltar,2018,
Greece,2018,7.71544075
Greenland,2018,
Grenada,2018,4.46386862
Guam,2018,
Guatemala,2018,5.70716429
Guinea,2018,3.93172431
Guinea-Bissau,2018,6.99553871
Guyana,2018,5.93609333
Haiti,2018,7.69460344
Honduras,2018,7.04958153
"Hong Kong SAR, China",2018,
Hungary,2018,6.70007229
Iceland,2018,8.46930885
India,2018,3.544245
Indonesia,2018,2.87053037
"Iran, Islamic Rep.",2018,8.66168594
Iraq,2018,4.1062417
Ireland,2018,6.92870378
Isle of Man,2018,
Israel,2018,7.51703548
Italy,2018,8.66763401
Jamaica,2018,6.06135607
Japan,2018,10.95338821
Jordan,2018,7.79041338
Kazakhstan,2018,2.92212725
Kenya,2018,5.16729498
Kiribati,2018,12.11170006
"Korea, Dem. People's Rep.",2018,
"Korea, Rep.",2018,7.56259203
Kosovo,2018,
Kuwait,2018,4.99920797
Kyrgyz Republic,2018,6.53458309
Lao PDR,2018,2.24630332
Latvia,2018,6.18923044
Lebanon,2018,8.35297012
Lesotho,2018,9.28354836
Liberia,2018,6.73955679
Libya,2018,
Liechtenstein,2018,
Lithuania,2018,6.56775236
Luxembourg,2018,5.28587103
"Macao SAR, China",2018,
Madagascar,2018,4.78956461
Malawi,2018,9.33423615
Malaysia,2018,3.7562995
Maldives,2018,9.41152477
Mali,2018,3.8849268
Malta,2018,8.96454525
Marshall Islands,2018,17.55299377
Mauritania,2018,4.58039093
Mauritius,2018,5.82624388
Mexico,2018,5.37147474
"Micronesia, Fed. Sts.",2018,12.59075356
Moldova,2018,6.59544849
Monaco,2018,1.59738493
Mongolia,2018,3.78789377
Montenegro,2018,8.4230423
Morocco,2018,5.31261539
Mozambique,2018,8.17430115
Myanmar,2018,4.79125547
Namibia,2018,7.95077181
Nauru,2018,9.5781002
Nepal,2018,5.84083414
Netherlands,2018,9.97458649
New Caledonia,2018,
New Zealand,2018,9.21034622
Nicaragua,2018,8.56453705
Niger,2018,7.33380175
Nigeria,2018,3.88990784
North Macedonia,2018,6.58288956
Northern Mariana Islands,2018,
Norway,2018,10.0493927
Oman,2018,4.13171434
Pakistan,2018,3.20193386
Palau,2018,10.86687088
Panama,2018,7.26584625
Papua New Guinea,2018,2.36706114
Paraguay,2018,6.65451145
Peru,2018,5.23800182
Philippines,2018,4.40060663
Poland,2018,6.33085012
Portugal,2018,9.40783501
Puerto Rico,2018,
Qatar,2018,2.49480486
Romania,2018,5.55660582
Russian Federation,2018,5.31590033
Rwanda,2018,7.54268694
Samoa,2018,5.21262693
San Marino,2018,7.14421701
Sao Tome and Principe,2018,6.26645994
Saudi Arabia,2018,6.3615365
Senegal,2018,3.97799659
Serbia,2018,8.53899002
Seychelles,2018,5.11036491
Sierra Leone,2018,16.06307983
Singapore,2018,4.46444654
Sint Maarten (Dutch part),2018,
Slovak Republic,2018,6.68639565
Slovenia,2018,8.29891014
Solomon Islands,2018,4.47443104
Somalia,2018,
South Africa,2018,8.25342083
South Sudan,2018,6.40037966
Spain,2018,8.97741413
Sri Lanka,2018,3.75841475
St. Kitts and Nevis,2018,5.31148005
St. Lucia,2018,4.39812708
St. Martin (French part),2018,
St. Vincent and the Grenadines,2018,4.47178459
Sudan,2018,4.51304483
Suriname,2018,7.96947193
Sweden,2018,10.8985014
Switzerland,2018,11.87620926
Syrian Arab Republic,2018,
Tajikistan,2018,7.2394805
Tanzania,2018,3.62868047
Thailand,2018,3.79303908
Timor-Leste,2018,4.32635784
Togo,2018,6.16532087
Tonga,2018,5.09657621
Trinidad and Tobago,2018,6.93182945
Tunisia,2018,7.29209566
Turkey,2018,4.12414074
Turkmenistan,2018,6.60540628
Turks and Caicos Islands,2018,
Tuvalu,2018,19.04735947
Uganda,2018,6.52623558
Ukraine,2018,7.72391653
United Arab Emirates,2018,4.22590351
United Kingdom,2018,9.99696255
United States,2018,16.88529778
Uruguay,2018,9.20269966
Uzbekistan,2018,5.29149055
Vanuatu,2018,3.37372637
"Venezuela, RB",2018,3.56269026
Vietnam,2018,5.91789675
Virgin Islands (U.S.),2018,
West Bank and Gaza,2018,
"Yemen, Rep.",2018,
Zambia,2018,4.93484306
Zimbabwe,2018,4.73433113
